sample_name,temperature_C,mass_percent,source_file,source_dataset_doi
FFP,25.221,100.0,2_FFP_TGA.csv,10.5258/SOTON/D2004
FFP,26.221,98.29151,2_FFP_TGA.csv,10.5258/SOTON/D2004
FFP,27.221,97.97762,2_FFP_TGA.csv,10.5258/SOTON/D2004
FFP,28.221,97.83876,2_FFP_TGA.csv,10.5258/SOTON/D2004
FFP,29.221,97.75966,2_FFP_TGA.csv,10.5258/SOTON/D2004
FFP,30.221,97.69902,2_FFP_TGA.csv,10.5258/SOTON/D2004
FFP,31.221,97.63287,2_FFP_TGA.csv,10.5258/SOTON/D2004
FFP,32.221,97.57346,2_FFP_TGA.csv,10.5258/SOTON/D2004
FFP,33.221,97.51102,2_FFP_TGA.csv,10.5258/SOTON/D2004
FFP,34.221,97.43858,2_FFP_TGA.csv,10.5258/SOTON/D2004
FFP,35.221,97.37167,2_FFP_TGA.csv,10.5258/SOTON/D2004
FFP,36.221,97.29979,2_FFP_TGA.csv,10.5258/SOTON/D2004
FFP,37.221,97.22318,2_FFP_TGA.csv,10.5258/SOTON/D2004
FFP,38.221,97.13926,2_FFP_TGA.csv,10.5258/SOTON/D2004
FFP,39.221,97.04975,2_FFP_TGA.csv,10.5258/SOTON/D2004
FFP,40.221,96.96497,2_FFP_TGA.csv,10.5258/SOTON/D2004
FFP,41.221,96.87352,2_FFP_TGA.csv,10.5258/SOTON/D2004
FFP,42.221,96.76772,2_FFP_TGA.csv,10.5258/SOTON/D2004
FFP,43.221,96.66868,2_FFP_TGA.csv,10.5258/SOTON/D2004
FFP,44.221,96.55751,2_FFP_TGA.csv,10.5258/SOTON/D2004
FFP,45.221,96.4371,2_FFP_TGA.csv,10.5258/SOTON/D2004
FFP,46.221,96.3024,2_FFP_TGA.csv,10.5258/SOTON/D2004
FFP,47.221,96.16539,2_FFP_TGA.csv,10.5258/SOTON/D2004
FFP,48.221,96.02833,2_FFP_TGA.csv,10.5258/SOTON/D2004
FFP,49.221,95.88111,2_FFP_TGA.csv,10.5258/SOTON/D2004
FFP,50.221,95.72789,2_FFP_TGA.csv,10.5258/SOTON/D2004
FFP,51.221,95.59149,2_FFP_TGA.csv,10.5258/SOTON/D2004
FFP,52.221,95.45769,2_FFP_TGA.csv,10.5258/SOTON/D2004
FFP,53.221,95.3177,2_FFP_TGA.csv,10.5258/SOTON/D2004
FFP,54.221,95.18929,2_FFP_TGA.csv,10.5258/SOTON/D2004
FFP,55.221,95.06566,2_FFP_TGA.csv,10.5258/SOTON/D2004
FFP,56.221,94.95795,2_FFP_TGA.csv,10.5258/SOTON/D2004
FFP,57.221,94.86777,2_FFP_TGA.csv,10.5258/SOTON/D2004
FFP,58.221,94.77834,2_FFP_TGA.csv,10.5258/SOTON/D2004
FFP,59.221,94.67661,2_FFP_TGA.csv,10.5258/SOTON/D2004
FFP,60.221,94.58417,2_FFP_TGA.csv,10.5258/SOTON/D2004
FFP,61.221,94.50948,2_FFP_TGA.csv,10.5258/SOTON/D2004
FFP,62.221,94.44795,2_FFP_TGA.csv,10.5258/SOTON/D2004
