sample_name,temperature_C,mass_percent,source_file,source_dataset_doi
UiO66NH2,25.379,100.0,2_PSM_TGA.csv,10.5258/SOTON/D2004
UiO66NH2,26.379,97.58842,2_PSM_TGA.csv,10.5258/SOTON/D2004
UiO66NH2,27.379,97.24445,2_PSM_TGA.csv,10.5258/SOTON/D2004
UiO66NH2,28.379,97.17384,2_PSM_TGA.csv,10.5258/SOTON/D2004
UiO66NH2,29.379,97.10907,2_PSM_TGA.csv,10.5258/SOTON/D2004
UiO66NH2,30.379,97.05097,2_PSM_TGA.csv,10.5258/SOTON/D2004
UiO66NH2,31.379,96.99325,2_PSM_TGA.csv,10.5258/SOTON/D2004
UiO66NH2,32.379,96.94638,2_PSM_TGA.csv,10.5258/SOTON/D2004
UiO66NH2,33.379,96.88997,2_PSM_TGA.csv,10.5258/SOTON/D2004
UiO66NH2,34.379,96.81805,2_PSM_TGA.csv,10.5258/SOTON/D2004
UiO66NH2,35.379,96.74396,2_PSM_TGA.csv,10.5258/SOTON/D2004
UiO66NH2,36.379,96.65186,2_PSM_TGA.csv,10.5258/SOTON/D2004
UiO66NH2,37.379,96.54851,2_PSM_TGA.csv,10.5258/SOTON/D2004
UiO66NH2,38.379,96.43158,2_PSM_TGA.csv,10.5258/SOTON/D2004
UiO66NH2,39.379,96.32189,2_PSM_TGA.csv,10.5258/SOTON/D2004
UiO66NH2,40.379,96.22452,2_PSM_TGA.csv,10.5258/SOTON/D2004
UiO66NH2,41.379,96.1169,2_PSM_TGA.csv,10.5258/SOTON/D2004
UiO66NH2,42.379,95.99606,2_PSM_TGA.csv,10.5258/SOTON/D2004
UiO66NH2,43.379,95.85675,2_PSM_TGA.csv,10.5258/SOTON/D2004
UiO66NH2,44.379,95.67685,2_PSM_TGA.csv,10.5258/SOTON/D2004
UiO66NH2,45.379,95.46165,2_PSM_TGA.csv,10.5258/SOTON/D2004
UiO66NH2,46.379,95.27517,2_PSM_TGA.csv,10.5258/SOTON/D2004
UiO66NH2,47.379,95.06569,2_PSM_TGA.csv,10.5258/SOTON/D2004
UiO66NH2,48.379,94.79476,2_PSM_TGA.csv,10.5258/SOTON/D2004
UiO66NH2,49.379,94.52517,2_PSM_TGA.csv,10.5258/SOTON/D2004
UiO66NH2,50.379,94.21061,2_PSM_TGA.csv,10.5258/SOTON/D2004
UiO66NH2,51.379,93.91418,2_PSM_TGA.csv,10.5258/SOTON/D2004
UiO66NH2,52.379,93.69816,2_PSM_TGA.csv,10.5258/SOTON/D2004
UiO66NH2,53.379,93.39306,2_PSM_TGA.csv,10.5258/SOTON/D2004
UiO66NH2,54.379,93.09307,2_PSM_TGA.csv,10.5258/SOTON/D2004
UiO66NH2,55.379,92.79559,2_PSM_TGA.csv,10.5258/SOTON/D2004
UiO66NH2,56.379,92.52286,2_PSM_TGA.csv,10.5258/SOTON/D2004
UiO66NH2,57.379,92.33806,2_PSM_TGA.csv,10.5258/SOTON/D2004
UiO66NH2,58.379,92.1145,2_PSM_TGA.csv,10.5258/SOTON/D2004
UiO66NH2,59.379,91.86896,2_PSM_TGA.csv,10.5258/SOTON/D2004
UiO66NH2,60.379,91.6555,2_PSM_TGA.csv,10.5258/SOTON/D2004
UiO66NH2,61.379,91.4723,2_PSM_TGA.csv,10.5258/SOTON/D2004
UiO66NH2,62.379,91.2873,2_PSM_TGA.csv,10.5258/SOTON/D2004
UiO66NH2,63.379,91.07487,2_PSM_TGA.csv,10.5258/SOTON/D2004
UiO66NH2,64.379,90.90211,2_PSM_TGA.csv,10.5258/SOTON/D2004
UiO66NH2,65.379,90.73967,2_PSM_TGA.csv,10.5258/SOTON/D2004
