sample_name,temperature_C,mass_percent,source_file,source_dataset_doi
PSM,25.467,100.0,2_PSM_TGA.csv,10.5258/SOTON/D2004
PSM,26.467,98.23849,2_PSM_TGA.csv,10.5258/SOTON/D2004
PSM,27.467,97.98221,2_PSM_TGA.csv,10.5258/SOTON/D2004
PSM,28.467,97.91403,2_PSM_TGA.csv,10.5258/SOTON/D2004
PSM,29.467,97.89018,2_PSM_TGA.csv,10.5258/SOTON/D2004
PSM,30.467,97.85699,2_PSM_TGA.csv,10.5258/SOTON/D2004
PSM,31.467,97.8283,2_PSM_TGA.csv,10.5258/SOTON/D2004
PSM,32.467,97.80074,2_PSM_TGA.csv,10.5258/SOTON/D2004
PSM,33.467,97.76571,2_PSM_TGA.csv,10.5258/SOTON/D2004
PSM,34.467,97.72837,2_PSM_TGA.csv,10.5258/SOTON/D2004
PSM,35.467,97.69473,2_PSM_TGA.csv,10.5258/SOTON/D2004
PSM,36.467,97.65639,2_PSM_TGA.csv,10.5258/SOTON/D2004
PSM,37.467,97.60624,2_PSM_TGA.csv,10.5258/SOTON/D2004
PSM,38.467,97.54653,2_PSM_TGA.csv,10.5258/SOTON/D2004
PSM,39.467,97.48834,2_PSM_TGA.csv,10.5258/SOTON/D2004
PSM,40.467,97.43284,2_PSM_TGA.csv,10.5258/SOTON/D2004
PSM,41.467,97.36754,2_PSM_TGA.csv,10.5258/SOTON/D2004
PSM,42.467,97.29737,2_PSM_TGA.csv,10.5258/SOTON/D2004
PSM,43.467,97.22243,2_PSM_TGA.csv,10.5258/SOTON/D2004
PSM,44.467,97.1332,2_PSM_TGA.csv,10.5258/SOTON/D2004
PSM,45.467,97.04003,2_PSM_TGA.csv,10.5258/SOTON/D2004
PSM,46.467,96.92805,2_PSM_TGA.csv,10.5258/SOTON/D2004
PSM,47.467,96.81665,2_PSM_TGA.csv,10.5258/SOTON/D2004
PSM,48.467,96.69317,2_PSM_TGA.csv,10.5258/SOTON/D2004
PSM,49.467,96.55753,2_PSM_TGA.csv,10.5258/SOTON/D2004
PSM,50.467,96.41466,2_PSM_TGA.csv,10.5258/SOTON/D2004
PSM,51.467,96.27433,2_PSM_TGA.csv,10.5258/SOTON/D2004
PSM,52.467,96.1269,2_PSM_TGA.csv,10.5258/SOTON/D2004
PSM,53.467,95.97943,2_PSM_TGA.csv,10.5258/SOTON/D2004
PSM,54.467,95.82921,2_PSM_TGA.csv,10.5258/SOTON/D2004
PSM,55.467,95.68557,2_PSM_TGA.csv,10.5258/SOTON/D2004
PSM,56.467,95.54109,2_PSM_TGA.csv,10.5258/SOTON/D2004
PSM,57.467,95.41799,2_PSM_TGA.csv,10.5258/SOTON/D2004
PSM,58.467,95.27937,2_PSM_TGA.csv,10.5258/SOTON/D2004
PSM,59.467,95.1342,2_PSM_TGA.csv,10.5258/SOTON/D2004
PSM,60.467,95.00918,2_PSM_TGA.csv,10.5258/SOTON/D2004
PSM,61.467,94.89074,2_PSM_TGA.csv,10.5258/SOTON/D2004
PSM,62.467,94.76882,2_PSM_TGA.csv,10.5258/SOTON/D2004
PSM,63.467,94.64365,2_PSM_TGA.csv,10.5258/SOTON/D2004
PSM,64.467,94.52318,2_PSM_TGA.csv,10.5258/SOTON/D2004
PSM,65.467,94.40508,2_PSM_TGA.csv,10.5258/SOTON/D2004
PSM,66.467,94.29878,2_PSM_TGA.csv,10.5258/SOTON/D2004
PSM,67.467,94.18371,2_PSM_TGA.csv,10.5258/SOTON/D2004
PSM,68.467,94.06405,2_PSM_TGA.csv,10.5258/SOTON/D2004
PSM,69.467,93.94849,2_PSM_TGA.csv,10.5258/SOTON/D2004
PSM,70.467,93.84243,2_PSM_TGA.csv,10.5258/SOTON/D2004
PSM,71.467,93.74098,2_PSM_TGA.csv,10.5258/SOTON/D2004
PSM,72.467,93.63024,2_PSM_TGA.csv,10.5258/SOTON/D2004
PSM,73.467,93.52824,2_PSM_TGA.csv,10.5258/SOTON/D2004
PSM,74.467,93.41979,2_PSM_TGA.csv,10.5258/SOTON/D2004
PSM,75.467,93.32616,2_PSM_TGA.csv,10.5258/SOTON/D2004
PSM,76.467,93.23708,2_PSM_TGA.csv,10.5258/SOTON/D2004
PSM,77.467,93.13631,2_PSM_TGA.csv,10.5258/SOTON/D2004
PSM,78.467,93.05741,2_PSM_TGA.csv,10.5258/SOTON/D2004
PSM,79.467,92.96748,2_PSM_TGA.csv,10.5258/SOTON/D2004
PSM,80.467,92.87235,2_PSM_TGA.csv,10.5258/SOTON/D2004
PSM,81.467,92.77572,2_PSM_TGA.csv,10.5258/SOTON/D2004
PSM,82.467,92.69615,2_PSM_TGA.csv,10.5258/SOTON/D2004
PSM,83.467,92.61936,2_PSM_TGA.csv,10.5258/SOTON/D2004
PSM,84.467,92.54996,2_PSM_TGA.csv,10.5258/SOTON/D2004
PSM,85.467,92.47421,2_PSM_TGA.csv,10.5258/SOTON/D2004
PSM,86.467,92.39681,2_PSM_TGA.csv,10.5258/SOTON/D2004
PSM,87.467,92.32848,2_PSM_TGA.csv,10.5258/SOTON/D2004
PSM,88.467,92.24944,2_PSM_TGA.csv,10.5258/SOTON/D2004
PSM,89.467,92.17267,2_PSM_TGA.csv,10.5258/SOTON/D2004
PSM,90.467,92.10406,2_PSM_TGA.csv,10.5258/SOTON/D2004
PSM,91.467,92.03511,2_PSM_TGA.csv,10.5258/SOTON/D2004
PSM,92.467,91.95391,2_PSM_TGA.csv,10.5258/SOTON/D2004
PSM,93.467,91.88233,2_PSM_TGA.csv,10.5258/SOTON/D2004
PSM,94.467,91.81633,2_PSM_TGA.csv,10.5258/SOTON/D2004
PSM,95.467,91.74382,2_PSM_TGA.csv,10.5258/SOTON/D2004
PSM,96.467,91.67381,2_PSM_TGA.csv,10.5258/SOTON/D2004
PSM,97.467,91.59657,2_PSM_TGA.csv,10.5258/SOTON/D2004
PSM,98.467,91.53344,2_PSM_TGA.csv,10.5258/SOTON/D2004
PSM,99.467,91.46545,2_PSM_TGA.csv,10.5258/SOTON/D2004
PSM,100.467,91.39384,2_PSM_TGA.csv,10.5258/SOTON/D2004
PSM,101.467,91.32276,2_PSM_TGA.csv,10.5258/SOTON/D2004
PSM,102.467,91.24489,2_PSM_TGA.csv,10.5258/SOTON/D2004
PSM,103.467,91.19069,2_PSM_TGA.csv,10.5258/SOTON/D2004
PSM,104.467,91.11285,2_PSM_TGA.csv,10.5258/SOTON/D2004
PSM,105.467,91.03946,2_PSM_TGA.csv,10.5258/SOTON/D2004
PSM,106.467,90.97008,2_PSM_TGA.csv,10.5258/SOTON/D2004
PSM,107.467,90.8946,2_PSM_TGA.csv,10.5258/SOTON/D2004
PSM,108.467,90.81473,2_PSM_TGA.csv,10.5258/SOTON/D2004
PSM,109.467,90.75428,2_PSM_TGA.csv,10.5258/SOTON/D2004
PSM,110.467,90.68241,2_PSM_TGA.csv,10.5258/SOTON/D2004
PSM,111.467,90.59976,2_PSM_TGA.csv,10.5258/SOTON/D2004
PSM,112.467,90.52746,2_PSM_TGA.csv,10.5258/SOTON/D2004
PSM,113.467,90.45892,2_PSM_TGA.csv,10.5258/SOTON/D2004
PSM,114.467,90.37891,2_PSM_TGA.csv,10.5258/SOTON/D2004
PSM,115.467,90.31774,2_PSM_TGA.csv,10.5258/SOTON/D2004
PSM,116.467,90.24928,2_PSM_TGA.csv,10.5258/SOTON/D2004
